0,0,2,-1,1.7309e-14,8,2.0004,-1.0001,1.3149e-07,10
1,1,2,-1,1.5584e-16,7,1.9999,-1.0003,7.2551e-08,8
2,-1,2,-1,0,0,2,-1,0,1
3,-1,2,-1,1.0668e-20,7,2,-1,4.9115e-11,8
1,-1,2,-1,1.0668e-20,7,2.0001,-1.0002,6.1471e-08,9
2,0,2,-1,0,1,NaN,NaN,NaN,1
2,-2,2,-1,0,1,2,-1,0,1
3,0,2,-1,5.6969e-14,5,2.0001,-1.0001,1.36e-08,7
4,-2,2,-1,2.0291e-11,19,2.0003,-0.99977,1.4603e-07,11
50,72,2.0171,41.192,1780.6,200,1.9999,-0.99999,6.3162e-09,34
